#   N_tot	    N_in	   N_out	   Ratio
     100	      81	      19	   0.810
     200	     154	      46	   0.770
    1000	     833	     167	   0.833
     100	      75	      25	   0.750
     300	     226	      74	   0.753
     400	     313	      87	   0.782
      50	      37	      13	   0.740
    3000	    2329	     671	   0.776
     500	     380	     120	   0.760
